RealCrystalName,smiles,score,ligand_index
Mpro-x0540,O=C(NCCC=1C=CN=CC1)NC2CCCCC2,58.0547,0
Mpro-x0426,FC=1C=CC=CC1C(=O)NCCC=2C=CN=CC2,57.3072,0
Mpro-x1093,CN1CCN(CC1)C(=O)CC1=CNC2=NC=CC=C12,52.5756,0
Mpro-x0967,CC(=O)NC(Cc1ccc(cc1)O)C(=O)NCC#CBr,51.2811,0
Mpro-x0104,CC(=O)NCCC1=CNC=2C=CC(F)=CC12,50.3251,1
Mpro-x0354,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,48.1828,1
Mpro-x0072,CS(=O)(=O)NCCC=1C=CC=CC1,47.1679,1
Mpro-x1249,O=C(NCC=1C=CC(C#N)=CC1)N2CCOCC2,47.0372,0
Mpro-x2193,CS(=O)(=O)c1ccc(cc1)N1CCNCC1,45.9846,0
Mpro-x1077,N#CC=1C=CC(=CN1)N2CCCOCC2,44.303,0
Mpro-x0395,CC1=NN=C(CN2CCC=C(F)C2)S1,43.891,0
Mpro-x0195,CN1CCCC=2C=CC(=CC12)S(=O)(=O)N,43.2479,1
Mpro-x0397,CN(CC=1C=C(C)ON1)C(=O)NC2CC2,41.9814,0
Mpro-x0387,OC1CCN(CC=2C=CSC2)CC1,41.5684,1
Mpro-x0305,CCNC=1C=CC(C#N)=CN1,39.8099,1
Mpro-x0161,COC(=O)C=1C=CC(=CC1)S(=O)(=O)N,37.3593,1
Mpro-x0874,O=C([C@@H]1[C@H](C2=CSC=C2)CCC1)N,35.7331,1
Mpro-x0946,BrC1=CC=C(S(N)(=O)=O)C=C1,33.9007,1
Mpro-x0995,NC=1C=NC=NC1,27.496,1
Mpro-x0991,CCC(=N)N,25.2026,1
